"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"TC0600003067.mm.2";1,30544468120712;4,5758905522097;3,24808420401375;0,0030826034358413;0,695325620533168;-4,16481483052181
"TC1100000009.mm.2";-1,38402360507733;8,19243185336944;-2,86713954643492;0,0079034900053463;0,695325620533168;-4,25022622210544
"TC0200002295.mm.2";1,27151477035845;9,64146719835036;2,7474255916557;0,0105288852594445;0,695325620533168;-4,27689187484883
"TC0200004663.mm.2";2,12385578012258;6,80814519710784;2,72676200153388;0,0110578150261533;0,695325620533168;-4,28147614017097
"TC0500000842.mm.2";1,00623550349411;5,46219342559663;2,66898983338054;0,0126717403780938;0,695325620533168;-4,29425784236518
"TC0500001808.mm.2";-1,13050128262202;6,83505482549507;-2,5933979668175;0,0151166103055799;0,695325620533168;-4,31089234762257
"TC0500001724.mm.2";1,05973522997421;5,17671032343582;2,45492876916825;0,0207647715603889;0,695325620533168;-4,3410386061601
"TC0700000507.mm.2";1,01744453781888;7,12197808315428;2,33032449986142;0,0274459915357158;0,695325620533168;-4,36771933741008
"TC1000001072.mm.2";-1,0491765869697;7,41421208845269;-2,22502731923312;0,0345591535628707;0,695325620533168;-4,38986246036733
"TC0100003349.mm.2";-1,07824405250713;7,23840179919248;-2,05960649960726;0,0491210955119114;0,695325620533168;-4,42375075030155
"TC0300000408.mm.2";1,13179668966236;6,86896070615409;1,79741013295184;0,0833787612511075;0,695325620533168;-4,4746827365489
"TC0600002574.mm.2";1,23979673310098;7,80065050468856;1,60313578308526;0,120451688376278;0,695325620533168;-4,50971569023234
